"U1","U2","group"
-13.6643596233523,-0.738129223390931,7
6.06302542074558,4.71910998721469,6
-14.1457067073977,-0.497857804104203,7
4.79080957754489,1.76201496024478,1
-13.5999646724856,-0.96546819309842,7
0.438357418616975,-13.0324030170883,2
6.23239559515353,1.15196344752658,1
7.13185352667209,2.28879234691013,8
0.510596161922181,-13.6298237095321,2
0.121185159524644,-14.1647072086776,2
6.51975530966159,1.30821034808505,1
-13.436198765198,-0.400834018989915,7
0.0828879533612376,-14.0546226749862,2
-0.606367820659911,-14.0752668629135,2
-12.7494874538577,-0.0121027963901697,7
-12.3145289959109,-0.644051874681824,7
6.88596147879001,1.3847193469559,1
-12.3716788829959,-0.173898438617104,7
-13.0724750103152,-0.633032704397553,7
-10.7505631984866,-1.28495075802457,9
5.74012369497653,8.19552800555575,5
-14.7937284053958,-0.652682269617432,7
4.93122286184665,1.69537482161868,3
5.79361338003513,6.64207837481845,6
5.63554186209079,7.57297179599155,5
0.409568792422975,-13.0199518452133,2
6.64232916220065,3.54951188464511,6
0.514234727462495,-12.9055853138412,2
6.50267929418918,1.22976968188632,1
-10.6620984615481,-1.35170736412656,9
-13.8944955410159,-0.507753069206589,7
5.76202673300144,1.66690931220401,1
5.76325315817233,3.83363363643039,6
4.67631191595432,2.39276144404758,3
-14.3183808864749,-0.980812574430817,7
-12.6611829342044,1.04961190123904,4
6.64713663442966,0.987150882676727,1
-0.104493850628173,-14.2949676762069,2
-12.6653991283572,1.38424036403049,4
6.60257763250705,2.36194679637302,8
5.72538561209079,5.96113011737216,6
-14.0340753139651,-1.05075004200589,7
-0.00299529151085559,-13.6400957355941,2
6.00487655981418,4.73393199344028,6
4.47310346945163,1.00357398887027,1
7.15683407171603,2.58708259959567,8
-14.8351779522097,-0.720824922129029,7
-13.7657971920169,-0.381991143032426,7
-0.484402784863746,-13.8189573536361,2
5.67765755041477,8.2257461299454,5
4.56774610861179,0.775745784238464,1
6.48962635382053,1.70478627581943,1
5.42032999380466,0.958359455064422,1
6.1108493266904,0.578816627458221,1
5.78609175070163,5.98444077868808,6
0.157697802623475,-14.0148096332992,2
-12.8521285595096,1.3366840829407,4
5.07241958959934,2.88721821208346,3
4.34624571188327,2.16533467669833,3
6.73961061819431,1.37277398009647,1
0.215709751685823,-14.3577184925522,2
5.75706714971896,0.549161290124542,1
5.33226866110202,5.65927359958041,6
6.0663690028989,7.69989392657626,5
0.22078225596782,-13.144932771727,2
5.69700331076022,6.20442054171909,6
5.71195406301853,5.55901238818515,6
0.626380568584169,-12.9369182835067,2
5.8069409786069,1.41617677111972,8
-13.1502700390017,-0.0605193662191569,7
6.01760382040378,7.84241292376865,5
5.48741144522067,7.21472976107944,5
6.09100479467746,1.21981511016238,1
3.74270290716525,1.94599006076205,3
5.86435217245456,1.38271961112369,1
-12.4957271160281,-0.12604245792281,7
4.8259486614072,1.08025238414157,3
6.20338577612277,2.03974888224948,1
6.06040710790988,7.81154963870395,5
5.72314781530734,6.39213416476596,6
-12.1633983196414,-0.495737905308121,7
0.267528956969941,-13.1793155918564,2
-11.039825970093,-1.08966436485898,9
0.402148610194886,-13.9543762455429,2
-13.4830241741336,-1.23980548481595,7
5.76136488302585,4.83099267382968,6
-0.0216553451216573,-13.3539448032821,2
3.90857261999484,1.7315256347214,3
5.91663355215427,5.06067416568149,6
5.47914642675754,4.80010554690707,6
5.47825807913181,1.02482375998843,1
5.16364139898654,0.952226017907745,1
6.49179739340183,3.70546910662997,6
4.57762522085544,2.50865909953464,3
3.93776029928561,1.04053041835178,3
-13.5614448131717,-1.22026815514218,7
4.09896559103366,2.83118317027438,3
-10.9038529934085,-1.17778101067197,9
5.68291944845554,0.584282313779479,1
5.91875833853122,4.85554311175693,6
3.52015513761874,1.65148219962466,3
-0.175756821194922,-13.8249168644394,2
0.254347151359284,-14.175091768309,2
-12.3673682750857,2.19932315249789,4
-0.0710690559542531,-14.111428285643,2
6.77491659506198,1.6772078027283,1
-12.3703704418338,1.39872131247867,4
-14.1402268947757,-1.15709509949338,7
5.64993948324558,7.99811265368808,5
5.00349945410129,7.6758365382706,5
4.33076137884494,2.31347582240451,3
-12.6785321773684,-0.0189019187087952,7
6.97321409567233,2.65214655299533,8
0.285110002597535,-14.1777677784408,2
4.16670889242526,2.67603466410983,3
-0.19786362142328,-13.8844051609482,2
5.62516493185397,5.96483847995151,6
5.55362648352023,7.79483744998325,5
-14.8494248928225,-0.702496195837372,7
5.57572645529147,5.62832209964145,6
5.7337798534238,5.61574313540805,6
6.07319015844699,7.85099933047641,5
5.2067384181821,2.6249000777756,8
5.84503692968723,4.9172014941727,6
-13.5087142528689,-0.54418557386052,7
5.55273193701144,5.16446254153598,6
5.73787445410129,5.85802075763095,6
5.56360191686984,2.59752747912753,3
4.22440428121921,0.604653989270812,3
-14.4322333873904,-0.394759381815308,7
-12.3524661602176,2.26377794642795,4
5.77297205313083,0.87204710145343,1
5.58298582418796,4.38724133868564,6
5.90769571646091,8.2410859813248,5
5.92365354879733,3.75576732058871,6
5.48852629049655,5.51017472644199,6
5.42165703161594,4.6227564563309,6
6.00817150457736,4.67319056887973,6
7.14856285436984,2.46137068171847,8
-13.617221409241,-1.25942566494595,7
-13.0446525158084,-0.695120538278931,7
4.82270330770847,0.672901784375793,1
0.350099211772645,-13.4559412250961,2
4.97868198736545,0.963676785424835,3
5.96812052114841,4.76353356738437,6
5.12124533041354,0.678562258676177,1
-13.4145770610965,-0.781115735575074,7
6.1464881358945,2.43685624499667,8
7.04121441229221,2.5770702113663,8
6.13507646902438,1.35545716185916,1
6.94532007559177,2.14278528590549,1
5.42561382635471,1.43765995402682,1
5.50870413168308,4.91940162082065,6
5.63303322180148,1.54756269355167,1
5.68756145819064,2.30203077693332,1
4.36414331777927,1.08158264060367,3
-0.12761040941838,-13.604441667601,2
-12.3878274501956,1.67713544268954,4
