2691,1237,2612,2039,2433,1048,2635,1161,1038,1588
334,1218,1943,2657,2357,1932,249,2587,660,654
1724,431,2500,1983,220,2236,1287,368,1107,2394
1448,1229,2527,1286,133,1390,536,1217,1860,669
2608,676,625,1196,2535,2420,1154,2188,2190,529
1621,1326,2424,629,1698,1623,2582,911,1377,361
2168,1038,113,1910,1382,350,2598,1950,262,2691
1052,521,1873,1591,694,334,2401,947,2680,1710
969,103,373,2026,1879,1220,1749,1178,1345,445
1197,1513,669,714,1108,1286,1860,674,1217,1979
1747,769,1428,2439,1532,1628,2434,1787,986,462
2597,45,2114,356,1119,269,1305,1231,482,819
724,1083,757,669,1440,1350,1717,619,609,1620
1263,1339,405,2544,1622,661,1009,644,1982,340
727,2671,184,2173,1132,1064,297,2675,420,125
2665,2552,416,1317,2653,2029,811,2443,2393,523
2384,631,2124,482,2213,772,2319,418,1283,853
1492,890,1459,2191,1171,636,71,537,1836,1357
2395,2620,1128,1802,2666,1509,2056,1917,724,2494
2183,1132,824,397,1129,2221,1099,2652,138,386
702,1564,1350,1576,2104,1283,1870,2399,1973,1404
2052,993,2307,2283,2419,149,457,852,567,2544
1696,472,970,204,2554,2524,161,1967,106,296
1228,164,1068,1218,2655,652,284,654,1943,872
863,1105,199,1622,2206,661,1420,2342,539,137
457,567,1166,2261,852,283,2277,1416,2056,2128
1397,1849,10,942,22,281,1679,885,902,2363
1008,1702,336,1436,1646,1044,1597,1288,1476,1036
34,1741,422,2103,58,590,618,1415,82,2168
1501,921,1220,2355,161,1888,445,373,2169,1261
880,1967,2323,539,2101,2419,1968,2052,145,368
1833,2559,1662,1664,11,1023,2282,1447,703,1754
2595,1840,314,2631,1851,1249,35,2527,2456,1619
1083,1466,1191,1023,1036,11,1460,1981,573,562
1017,100,1559,2086,1821,2378,1408,809,276,36
498,1390,1401,2328,2460,2046,429,2570,2595,1055
1995,2319,2021,549,2310,1119,2228,367,476,1113
1696,921,204,1345,1178,1888,2479,1406,1261,146
1812,1403,1640,1339,658,862,2554,1739,1422,944
1070,1510,253,98,1907,1700,437,1137,2172,1819
652,2295,284,1340,1016,2682,2357,1539,1932,882
2614,180,1871,1633,415,2477,965,335,380,1766
1934,439,312,2463,1064,2675,1543,1613,1129,824
1294,409,664,1309,1049,2686,2376,827,2126,1572
42,2010,6,227,368,2664,1426,431,511,1127
1932,2223,2655,652,334,164,1539,816,946,660
2007,545,1851,828,313,1793,2618,1401,1445,1704
1155,2359,1590,457,2184,2664,2010,2056,2027,84
2245,235,1900,2064,852,349,2010,1506,1457,2689
1428,2683,568,1024,315,633,2020,772,234,1628
2683,411,2439,1296,1286,865,1271,901,979,1792
2277,2032,1363,2118,37,283,149,1656,457,2296
1357,470,783,1704,2200,699,1171,1169,1492,867
45,1229,682,705,1060,579,1390,828,1729,2384
222,24,409,851,350,2376,1097,1101,38,330
922,1803,1793,2601,2315,288,1302,413,534,197
165,965,335,380,112,102,2477,2659,1221,1871
1642,2688,2654,93,214,619,702,722,2319,1608
2500,1714,1727,1518,638,368,126,1844,547,219
461,579,1081,2449,1742,1685,2643,1851,2321,1662
1064,1752,297,1708,2154,2462,138,2303,1970,1675
326,2464,1613,978,1657,2563,2590,1057,660,1042
1499,51,2668,1645,1978,817,2197,2226,1542,2327
2183,1989,1439,1781,2401,1922,2271,2462,603,2442
395,986,1802,2360,2073,2310,2395,2228,2487,2246
2314,2543,1007,2581,2029,1329,2022,1541,1074,1373
16,376,1599,1770,2329,2612,1843,2253,1097,117
1723,2645,2098,1749,1278,192,1600,607,880,200
1265,1711,1292,1962,191,1879,880,1295,200,2431
1357,2417,1492,771,890,1923,1222,1405,1704,2527
1001,914,1837,97,1408,1559,1525,670,927,391
625,1797,2589,1159,231,128,1702,32,2190,1208
249,2587,2215,120,2675,1974,2096,2652,1129,2657
945,1291,470,1192,922,1369,1664,2678,114,1284
297,2154,1708,1610,1616,582,289,1835,1494,1613
661,1467,1799,2206,1416,2495,655,2389,567,1142
1631,2431,880,984,1749,2026,1295,2645,907,2281
1621,1493,1865,2424,1623,641,104,2274,1341,614
621,1422,2001,1457,2689,1416,2206,866,2664,1263
1009,2661,405,688,424,1416,301,42,2489,2515
1696,161,502,472,146,1345,2479,1749,970,2458
1156,665,1858,1840,2128,1302,2534,767,1159,1768
2579,2478,431,412,1473,2502,1194,1107,2254,1983
2510,1630,851,1627,2317,1248,1798,438,1056,1984
1467,2502,218,2313,1418,1194,1571,2201,1160,812
417,1263,460,1622,405,2389,494,2018,1009,2206
1239,1981,1687,1731,1311,2609,1891,1474,1169,2476
1232,640,725,1504,2250,964,2322,756,732,550
1145,485,875,52,113,2582,601,2488,298,263
2241,2242,2668,962,971,1645,2151,186,777,649
1792,619,2683,2604,2654,40,1721,1639,2399,1628
2131,316,2064,1444,175,511,1897,1834,1983,1688
689,1723,372,998,823,1528,1699,2098,2237,2454
767,1946,1590,1768,1858,2268,295,640,2034,2128
519,2206,1713,2074,655,199,1257,2257,1444,2296
840,1944,1160,758,1897,2245,916,2064,1538,1009
126,431,84,1644,17,2500,1983,2304,168,1834
1771,1347,26,1093,2188,1882,1768,2259,1470,1208
178,613,2376,409,24,1585,2472,1049,566,1097
851,561,2172,1748,101,1248,1924,396,1572,588
1027,510,669,1632,1086,1197,1286,27,2436,1083
2357,1938,1064,1932,1934,491,1616,950,1989,501
1481,2213,2570,2520,772,1553,2014,1787,45,1114
1426,168,2664,1834,42,1488,2504,84,539,1583
703,2247,2436,575,1632,906,2520,1629,1197,2178
1665,1630,83,2085,2278,2658,1984,350,1697,738
782,2589,2535,1392,768,888,744,1159,478,1977
1196,336,1093,1945,1159,625,1977,529,1385,2589
1717,568,599,617,315,11,114,1638,2559,2439
1886,1436,1601,616,1270,55,70,1808,1475,1126
1024,1705,173,1215,706,2119,1342,2636,1131,2046
2010,1581,1457,866,368,1207,1900,1422,2182,123
315,2176,430,1638,303,669,1754,700,1465,114
2350,1785,2465,1078,2613,1119,1367,2280,86,2395
756,1655,1271,1883,2683,1337,1060,958,1800,783
652,1863,1614,1052,1219,2677,1616,660,1573,2215
2599,789,1035,1784,1047,54,1658,39,1580,1519
1305,307,2089,773,2228,63,772,62,1792,1717
1770,2617,2612,1282,2433,1136,605,973,1048,1574
2555,968,1716,71,1050,2213,772,828,1024,45
2347,1556,552,1611,2003,728,1318,2150,294,1327
1358,1598,609,2476,1981,473,2405,1256,503,714
1403,1263,1339,2539,1812,305,879,742,1640,2637
186,1978,649,213,31,1755,971,2264,2241,2135
1337,2532,1192,2536,783,1260,735,238,1283,756
2587,1943,196,652,2657,125,78,2134,902,1218
113,601,443,2168,1079,596,422,104,1520,1322
2234,2259,2573,2608,676,318,2423,1174,1196,280
643,1817,2087,2017,557,759,1557,2566,1880,1772
2227,1649,437,2667,1700,563,2061,1309,2172,480
888,1856,612,2373,2247,1471,703,1383,1171,2507
2549,1032,2030,388,1092,927,1665,2592,1183,1348
